,Product link,Product name,Product Model,Product Type,Product price,Product police number,Product police number type,Product Mileage,Production year,Product post location,Product color,Product fuel type,Product Transmission
0,https://toyotatrust.astra.co.id/TOYOTA-YARIS-YARIS-1.5-S-MT-TRD-(ALL-NEW)-MT-2021-4638,TOYOTA YARIS YARIS 1.5 S MT TRD (ALL NEW) MT 2021,YARIS,YARIS 1.5 S MT TRD (ALL NEW),Rp 268.900.000,W 1455 BF,odd,9613,2021,Surabaya,WHITE,GASOLINE,MT
1,https://toyotatrust.astra.co.id/TOYOTA-YARIS-YARIS-1.5-S-MT-TRD-(ALL-NEW)-MT-2020-3828,TOYOTA YARIS YARIS 1.5 S MT TRD (ALL NEW) MT 2020,YARIS,YARIS 1.5 S MT TRD (ALL NEW),Rp 227.000.000,BK 1125 ABG,odd,36235,2020,Medan,BLACK,GASOLINE,MT
2,https://toyotatrust.astra.co.id/TOYOTA-YARIS-YARIS-1.5-S-MT-TRD-(ALL-NEW)-MT-2019-4241,TOYOTA YARIS YARIS 1.5 S MT TRD (ALL NEW) MT 2019,YARIS,YARIS 1.5 S MT TRD (ALL NEW),Rp 218.000.000,BK 1453 RT,odd,21460,2019,Medan,BLACK,GASOLINE,MT
3,https://toyotatrust.astra.co.id/TOYOTA-YARIS-YARIS-1.5-S-CVT-GR-SPORT-AT-2021-4228,TOYOTA YARIS YARIS 1.5 S CVT GR SPORT AT 2021,YARIS,YARIS 1.5 S CVT GR SPORT,Rp 280.000.000,B 2960 UZN,even,9102,2021,Kalimalang,SILVER,,AT
4,https://toyotatrust.astra.co.id/TOYOTA-YARIS-YARIS-1.5-S-CVT-GR-SPORT-AT-2021-4058,TOYOTA YARIS YARIS 1.5 S CVT GR SPORT AT 2021,YARIS,YARIS 1.5 S CVT GR SPORT,Rp 285.000.000,B 2454 FFX,even,10634,2021,Kalimalang,YELLOW,,AT
5,https://toyotatrust.astra.co.id/TOYOTA-YARIS-YARIS-1.5-S-AT-TRD-(ALL-NEW)-AT-2020-4260,TOYOTA YARIS YARIS 1.5 S AT TRD (ALL NEW) AT 2020,YARIS,YARIS 1.5 S AT TRD (ALL NEW),Rp 250.000.000,B 1600 WZY,even,26173,2020,Kalimalang,YELLOW,,AT
6,https://toyotatrust.astra.co.id/TOYOTA-YARIS-YARIS-1.5-S-AT-TRD-(ALL-NEW)-AT-2020-3907,TOYOTA YARIS YARIS 1.5 S AT TRD (ALL NEW) AT 2020,YARIS,YARIS 1.5 S AT TRD (ALL NEW),Rp 240.000.000,D 1543 AIN,odd,9986,2020,SH,SILVER,GASOLINE,AT
7,https://toyotatrust.astra.co.id/TOYOTA-YARIS-YARIS-1.5-S-AT-LIMITED-(NEW)-AT-2012-3474,TOYOTA YARIS YARIS 1.5 S AT LIMITED (NEW) AT 2012,YARIS,YARIS 1.5 S AT LIMITED (NEW),Rp 133.000.000,BK 1810 OZ,even,101430,2012,Medan,SILVER,GASOLINE,AT
8,https://toyotatrust.astra.co.id/TOYOTA-YARIS-YARIS-1.5-S-AT-LIMITED-(NEW)-AT-2012-4421,TOYOTA YARIS YARIS 1.5 S AT LIMITED (NEW) AT 2012,YARIS,YARIS 1.5 S AT LIMITED (NEW),Rp 128.000.000,BK 1309 LA,odd,96212,2012,Medan,SILVER,,AT
9,https://toyotatrust.astra.co.id/TOYOTA-YARIS-YARIS-1.5-E-MT-(NEW)-MT-2013-4326,TOYOTA YARIS YARIS 1.5 E MT (NEW) MT 2013,YARIS,YARIS 1.5 E MT (NEW),Rp 128.000.000,F 1608 KK,even,84998,2013,Cibinong,BLACK,,MT
